ID;Semester;HZBNote;Art
2263;4030;2;allgemeine Hochschulreife
1630;4030;3;allgemeine Hochschulreife
500;4030;3;allgemeine Hochschulreife
1015;4030;3;allgemeine Hochschulreife
1344;4030;3;allgemeine Hochschulreife
644;4030;2;allgemeine Hochschulreife
2601;4030;3;allgemeine Hochschulreife
987;4030;3;allgemeine Hochschulreife
404;4030;3;allgemeine Hochschulreife
104;4030;3;allgemeine Hochschulreife
2615;4030;3;allgemeine Hochschulreife
2361;4030;2;allgemeine Hochschulreife
1180;4031;1;allgemeine Hochschulreife
1593;4031;3;allgemeine Hochschulreife
1584;4034;3;allgemeine Hochschulreife
154;4034;3;Fachhochschulreife
802;4034;2;allgemeine Hochschulreife
1045;4034;;allgemeine Hochschulreife
1332;4034;3;allgemeine Hochschulreife
1715;4034;3;allgemeine Hochschulreife
910;4034;4;allgemeine Hochschulreife
1219;4034;2;allgemeine Hochschulreife
2189;4034;3;allgemeine Hochschulreife
692;4034;3;allgemeine Hochschulreife
778;4034;3;allgemeine Hochschulreife
1647;4034;3;allgemeine Hochschulreife
2028;4034;2;allgemeine Hochschulreife
1287;4034;3;allgemeine Hochschulreife
1650;4034;4;allgemeine Hochschulreife
551;4031;3;allgemeine Hochschulreife
22;4031;3;allgemeine Hochschulreife
2048;4031;3;allgemeine Hochschulreife
592;4031;3;allgemeine Hochschulreife
794;4031;2;allgemeine Hochschulreife
2196;4032;2;allgemeine Hochschulreife
2251;4032;2;allgemeine Hochschulreife
387;4032;3;allgemeine Hochschulreife
1390;4030;4;allgemeine Hochschulreife
636;4030;4;allgemeine Hochschulreife
687;4030;3;allgemeine Hochschulreife
2567;4030;4;allgemeine Hochschulreife
156;4031;3;allgemeine Hochschulreife
944;4034;2;allgemeine Hochschulreife
1455;4034;3;allgemeine Hochschulreife
2682;4034;3;allgemeine Hochschulreife
938;4034;3;allgemeine Hochschulreife
1598;4034;3;allgemeine Hochschulreife
339;4034;2;allgemeine Hochschulreife
219;4034;3;allgemeine Hochschulreife
1792;4034;2;allgemeine Hochschulreife
2462;4034;3;allgemeine Hochschulreife
2657;4034;3;allgemeine Hochschulreife
2639;4031;3;allgemeine Hochschulreife
1847;4031;2;allgemeine Hochschulreife
934;4031;3;allgemeine Hochschulreife
2372;4031;3;allgemeine Hochschulreife
1970;4031;2;allgemeine Hochschulreife
2711;4031;3;allgemeine Hochschulreife
1921;4031;;allgemeine Hochschulreife
650;4032;3;allgemeine Hochschulreife
2037;4028;2;allgemeine Hochschulreife
1398;4029;3;allgemeine Hochschulreife
821;4028;4;allgemeine Hochschulreife
1283;4028;3;allgemeine Hochschulreife
373;4028;3;allgemeine Hochschulreife
2106;4028;3;allgemeine Hochschulreife
2370;4027;3;allgemeine Hochschulreife
1412;4029;3;allgemeine Hochschulreife
482;4029;;allgemeine Hochschulreife
1101;4029;3;allgemeine Hochschulreife
503;4029;;allgemeine Hochschulreife
1510;4029;2;allgemeine Hochschulreife
1904;4029;2;allgemeine Hochschulreife
2246;4029;1;allgemeine Hochschulreife
2067;4029;3;allgemeine Hochschulreife
524;4029;3;allgemeine Hochschulreife
975;4032;2;allgemeine Hochschulreife
1708;4032;3;allgemeine Hochschulreife
668;4032;2;allgemeine Hochschulreife
497;4032;3;allgemeine Hochschulreife
1889;4032;2;allgemeine Hochschulreife
1127;4032;3;allgemeine Hochschulreife
967;4032;1;allgemeine Hochschulreife
389;4035;2;allgemeine Hochschulreife
986;4036;3;Fachhochschulreife
2389;4036;2;allgemeine Hochschulreife
192;4036;3;allgemeine Hochschulreife
1103;4036;4;allgemeine Hochschulreife
1788;4036;3;Fachhochschulreife
249;4035;2;allgemeine Hochschulreife
315;4032;2;allgemeine Hochschulreife
697;4032;3;allgemeine Hochschulreife
1463;4032;3;allgemeine Hochschulreife
1289;4032;3;allgemeine Hochschulreife
2697;4032;2;allgemeine Hochschulreife
1497;4032;3;allgemeine Hochschulreife
554;4032;3;allgemeine Hochschulreife
2690;4033;2;allgemeine Hochschulreife
895;4035;2;allgemeine Hochschulreife
103;4035;1;allgemeine Hochschulreife
2236;4036;3;allgemeine Hochschulreife
936;4036;3;allgemeine Hochschulreife
2407;4036;3;allgemeine Hochschulreife
1125;4036;3;allgemeine Hochschulreife
2292;4036;3;allgemeine Hochschulreife
1646;4036;3;allgemeine Hochschulreife
2095;4035;2;allgemeine Hochschulreife
1695;4035;2;allgemeine Hochschulreife
135;4029;3;allgemeine Hochschulreife
2153;4030;3;allgemeine Hochschulreife
757;4030;3;allgemeine Hochschulreife
2744;4030;2;allgemeine Hochschulreife
1077;4030;3;allgemeine Hochschulreife
1272;4030;4;allgemeine Hochschulreife
1167;4030;2;allgemeine Hochschulreife
2613;4030;3;allgemeine Hochschulreife
2382;4030;4;allgemeine Hochschulreife
1502;4030;3;allgemeine Hochschulreife
1163;4030;2;allgemeine Hochschulreife
1718;4030;3;allgemeine Hochschulreife
2616;4030;2;allgemeine Hochschulreife
1275;4031;3;allgemeine Hochschulreife
1136;4031;2;allgemeine Hochschulreife
2501;4031;3;allgemeine Hochschulreife
900;4031;4;allgemeine Hochschulreife
820;4034;3;allgemeine Hochschulreife
661;4034;3;allgemeine Hochschulreife
2678;4034;2;allgemeine Hochschulreife
2678;4035;2;allgemeine Hochschulreife
1343;4034;2;allgemeine Hochschulreife
654;4034;3;allgemeine Hochschulreife
1451;4034;3;allgemeine Hochschulreife
2014;4034;3;allgemeine Hochschulreife
2338;4034;3;allgemeine Hochschulreife
1722;4034;3;allgemeine Hochschulreife
1351;4034;3;allgemeine Hochschulreife
1060;4034;3;allgemeine Hochschulreife
689;4034;3;Fachhochschulreife
185;4031;2;allgemeine Hochschulreife
261;4031;3;allgemeine Hochschulreife
353;4035;3;allgemeine Hochschulreife
2403;4035;2;allgemeine Hochschulreife
2679;4035;2;allgemeine Hochschulreife
1617;4035;2;allgemeine Hochschulreife
1535;4033;4;allgemeine Hochschulreife
2419;4033;2;allgemeine Hochschulreife
2267;4033;2;allgemeine Hochschulreife
762;4033;3;allgemeine Hochschulreife
2371;4033;3;allgemeine Hochschulreife
968;4033;2;allgemeine Hochschulreife
1848;4033;3;allgemeine Hochschulreife
1282;4031;3;allgemeine Hochschulreife
1097;4031;3;allgemeine Hochschulreife
1151;4031;3;allgemeine Hochschulreife
2216;4032;3;allgemeine Hochschulreife
171;4032;2;allgemeine Hochschulreife
2315;4032;3;allgemeine Hochschulreife
331;4032;3;allgemeine Hochschulreife
2650;4032;3;allgemeine Hochschulreife
1564;4032;3;allgemeine Hochschulreife
1421;4032;3;allgemeine Hochschulreife
13;4032;2;allgemeine Hochschulreife
2080;4032;2;allgemeine Hochschulreife
1501;4032;2;allgemeine Hochschulreife
874;4032;3;allgemeine Hochschulreife
710;4035;3;allgemeine Hochschulreife
1958;4035;2;allgemeine Hochschulreife
338;4036;3;Fachhochschulreife
2278;4036;1;allgemeine Hochschulreife
2230;4036;3;allgemeine Hochschulreife
610;4036;2;allgemeine Hochschulreife
496;4036;3;allgemeine Hochschulreife
1602;4036;3;allgemeine Hochschulreife
1342;4036;3;allgemeine Hochschulreife
224;4036;3;allgemeine Hochschulreife
800;4036;4;Fachhochschulreife
466;4036;3;allgemeine Hochschulreife
1449;4036;3;Fachhochschulreife
1014;4036;2;allgemeine Hochschulreife
2707;4033;2;allgemeine Hochschulreife
1960;4033;2;allgemeine Hochschulreife
2490;4033;3;allgemeine Hochschulreife
1365;4033;3;allgemeine Hochschulreife
629;4033;2;allgemeine Hochschulreife
264;4033;2;allgemeine Hochschulreife
1791;4033;2;allgemeine Hochschulreife
193;4033;1;allgemeine Hochschulreife
2560;4031;3;allgemeine Hochschulreife
1893;4031;3;allgemeine Hochschulreife
2655;4031;3;allgemeine Hochschulreife
1939;4031;3;allgemeine Hochschulreife
2002;4031;2;allgemeine Hochschulreife
2559;4031;3;allgemeine Hochschulreife
953;4031;2;allgemeine Hochschulreife
2441;4031;2;allgemeine Hochschulreife
1154;4031;2;allgemeine Hochschulreife
2147;4031;3;allgemeine Hochschulreife
544;4018;;allgemeine Hochschulreife
1434;4012;2;allgemeine Hochschulreife
957;4017;3;allgemeine Hochschulreife
1945;4011;3;allgemeine Hochschulreife
601;4011;3;allgemeine Hochschulreife
1152;4011;2;allgemeine Hochschulreife
1188;4011;3;allgemeine Hochschulreife
749;4011;2;allgemeine Hochschulreife
1132;4035;3;allgemeine Hochschulreife
929;4035;2;allgemeine Hochschulreife
1623;4035;2;allgemeine Hochschulreife
276;4013;3;allgemeine Hochschulreife
1551;4031;1;Studiengenehmigung (ohne Hochschulreife)
1479;4032;3;allgemeine Hochschulreife
906;4031;2;allgemeine Hochschulreife
474;4031;2;allgemeine Hochschulreife
2269;4013;2;allgemeine Hochschulreife
1943;4011;4;allgemeine Hochschulreife
399;4011;3;allgemeine Hochschulreife
978;4011;2;allgemeine Hochschulreife
2286;4011;2;allgemeine Hochschulreife
892;4011;2;allgemeine Hochschulreife
439;4011;2;allgemeine Hochschulreife
2358;4035;0;Studiengenehmigung (ohne Hochschulreife)
2157;4013;4;allgemeine Hochschulreife
655;4013;2;allgemeine Hochschulreife
2011;4013;3;allgemeine Hochschulreife
194;4013;;allgemeine Hochschulreife
2079;4013;2;allgemeine Hochschulreife
2686;4013;2;allgemeine Hochschulreife
1736;4013;2;allgemeine Hochschulreife
1328;4015;2;allgemeine Hochschulreife
381;4013;2;allgemeine Hochschulreife
1658;4013;2;allgemeine Hochschulreife
2460;4013;2;allgemeine Hochschulreife
575;4013;;Studiengenehmigung (ohne Hochschulreife)
6;4013;2;allgemeine Hochschulreife
1395;4013;2;allgemeine Hochschulreife
890;4013;3;allgemeine Hochschulreife
2334;4036;2;allgemeine Hochschulreife
1241;4036;3;allgemeine Hochschulreife
1556;4035;2;allgemeine Hochschulreife
1846;4033;2;allgemeine Hochschulreife
481;4033;2;allgemeine Hochschulreife
522;4034;3;allgemeine Hochschulreife
1330;4033;3;allgemeine Hochschulreife
326;4033;2;allgemeine Hochschulreife
767;4033;2;allgemeine Hochschulreife
1107;4013;2;allgemeine Hochschulreife
711;4013;2;allgemeine Hochschulreife
943;4013;2;allgemeine Hochschulreife
888;4013;2;allgemeine Hochschulreife
455;4013;3;allgemeine Hochschulreife
1702;4013;2;allgemeine Hochschulreife
2001;4013;2;allgemeine Hochschulreife
279;4014;2;allgemeine Hochschulreife
159;4013;2;allgemeine Hochschulreife
87;4013;2;allgemeine Hochschulreife
1961;4013;3;allgemeine Hochschulreife
1121;4013;2;allgemeine Hochschulreife
1192;4013;3;allgemeine Hochschulreife
2359;4013;2;allgemeine Hochschulreife
1665;4016;3;allgemeine Hochschulreife
1654;4013;4;allgemeine Hochschulreife
2713;4013;3;allgemeine Hochschulreife
1458;4013;2;allgemeine Hochschulreife
534;4014;3;allgemeine Hochschulreife
241;4014;3;allgemeine Hochschulreife
2410;4014;3;allgemeine Hochschulreife
2640;4014;3;allgemeine Hochschulreife
954;4014;4;allgemeine Hochschulreife
1450;4014;3;allgemeine Hochschulreife
2449;4014;;Fachhochschulreife
1117;4014;2;allgemeine Hochschulreife
1524;4014;3;allgemeine Hochschulreife
161;4014;2;allgemeine Hochschulreife
2276;4014;2;allgemeine Hochschulreife
1005;4014;2;allgemeine Hochschulreife
602;4014;1;allgemeine Hochschulreife
1903;4014;2;allgemeine Hochschulreife
1831;4014;2;allgemeine Hochschulreife
314;4013;3;allgemeine Hochschulreife
2275;4013;4;allgemeine Hochschulreife
585;4013;2;allgemeine Hochschulreife
2654;4013;2;allgemeine Hochschulreife
1758;4014;;Studiengenehmigung (ohne Hochschulreife)
651;4014;2;allgemeine Hochschulreife
475;4014;3;allgemeine Hochschulreife
677;4014;2;allgemeine Hochschulreife
1491;4014;3;allgemeine Hochschulreife
1998;4014;3;allgemeine Hochschulreife
688;4014;2;allgemeine Hochschulreife
2086;4014;2;allgemeine Hochschulreife
2524;4014;2;allgemeine Hochschulreife
1552;4014;3;allgemeine Hochschulreife
68;4014;2;allgemeine Hochschulreife
1488;4014;3;allgemeine Hochschulreife
1519;4016;3;allgemeine Hochschulreife
552;4016;;allgemeine Hochschulreife
2621;4016;3;allgemeine Hochschulreife
342;4016;3;allgemeine Hochschulreife
2266;4016;4;allgemeine Hochschulreife
1049;4016;3;allgemeine Hochschulreife
146;4016;3;allgemeine Hochschulreife
23;4016;3;allgemeine Hochschulreife
450;4016;3;allgemeine Hochschulreife
2527;4016;4;allgemeine Hochschulreife
1833;4016;3;allgemeine Hochschulreife
2394;4018;3;allgemeine Hochschulreife
1776;4016;3;allgemeine Hochschulreife
1878;4016;;Studiengenehmigung (ohne Hochschulreife)
1656;4033;1;allgemeine Hochschulreife
2687;4033;2;allgemeine Hochschulreife
1555;4033;2;allgemeine Hochschulreife
1183;4033;2;allgemeine Hochschulreife
1037;4033;2;allgemeine Hochschulreife
1462;4031;3;allgemeine Hochschulreife
1806;4031;3;allgemeine Hochschulreife
2324;4031;3;allgemeine Hochschulreife
1560;4031;3;allgemeine Hochschulreife
2346;4031;1;allgemeine Hochschulreife
2377;4014;3;allgemeine Hochschulreife
150;4011;2;allgemeine Hochschulreife
167;4011;;Fachhochschulreife
415;4011;3;allgemeine Hochschulreife
1575;4021;4;allgemeine Hochschulreife
413;4011;2;allgemeine Hochschulreife
1212;4011;3;allgemeine Hochschulreife
2173;4011;2;allgemeine Hochschulreife
479;4035;3;allgemeine Hochschulreife
1148;4019;2;allgemeine Hochschulreife
2240;4016;3;allgemeine Hochschulreife
1604;4016;3;allgemeine Hochschulreife
1779;4016;3;allgemeine Hochschulreife
540;4016;3;allgemeine Hochschulreife
750;4016;3;allgemeine Hochschulreife
1267;4016;3;allgemeine Hochschulreife
1423;4016;3;allgemeine Hochschulreife
1021;4016;3;allgemeine Hochschulreife
369;4016;3;allgemeine Hochschulreife
584;4016;4;allgemeine Hochschulreife
2547;4016;3;allgemeine Hochschulreife
1704;4016;3;allgemeine Hochschulreife
1504;4016;3;allgemeine Hochschulreife
542;4016;3;allgemeine Hochschulreife
1324;4016;3;allgemeine Hochschulreife
1264;4016;3;allgemeine Hochschulreife
2658;4016;3;allgemeine Hochschulreife
1946;4016;4;allgemeine Hochschulreife
1242;4016;3;allgemeine Hochschulreife
741;4016;;Fachhochschulreife
43;4026;3;allgemeine Hochschulreife
100;4017;3;allgemeine Hochschulreife
838;4017;3;allgemeine Hochschulreife
569;4017;2;allgemeine Hochschulreife
160;4018;3;allgemeine Hochschulreife
1404;4018;3;allgemeine Hochschulreife
1277;4018;3;allgemeine Hochschulreife
2664;4018;3;allgemeine Hochschulreife
448;4018;3;allgemeine Hochschulreife
117;4019;3;allgemeine Hochschulreife
1794;4019;2;allgemeine Hochschulreife
230;4019;3;allgemeine Hochschulreife
1294;4016;3;allgemeine Hochschulreife
2563;4016;4;allgemeine Hochschulreife
2584;4017;;allgemeine Hochschulreife
904;4019;2;allgemeine Hochschulreife
282;4017;3;allgemeine Hochschulreife
1189;4017;3;allgemeine Hochschulreife
830;4017;3;allgemeine Hochschulreife
211;4017;3;allgemeine Hochschulreife
2649;4017;3;allgemeine Hochschulreife
2685;4017;2;allgemeine Hochschulreife
2638;4018;3;allgemeine Hochschulreife
845;4019;2;allgemeine Hochschulreife
805;4020;2;allgemeine Hochschulreife
709;4019;3;allgemeine Hochschulreife
2648;4019;2;allgemeine Hochschulreife
