ID (Unit);ID (2005);Title (2005);Type (2005);ID (2012);Title (2012);Type (2012);ID (2017);Title (2017);Type (2017);ID (Final)
143087;;;;143087;Multimediatechnik (Video);Ü;143169;Medienproduktion und -distribution;Ü;143169
143088;;;;143088;Multimediatechnik (Audio);Ü;143149;Medientechnologien;Ü;143149
143097;;;;;;;;;;143097
143098;;;;;;;;;;143098
143099;;;;;;;;;;143099
143100;;;;;;;;;;143100
143101;;;;;;;;;;143101
143102;;;;;;;;;;143102
143105;;;;143105;Grundlagen wissenschaftlichen Arbeitens;SU;143105;Grundlagen wissenschaftlichen Arbeitens;SU;143105
143106;;;;143106;Grundlagen wissenschaftlichen Arbeitens;Ü;143106;Grundlagen wissenschaftlichen Arbeitens;Ü;143106
143107;;;;;;;;;;143107
143108;;;;;;;;;;143108
143109;;;;;;;;;;143109
143110;;;;;;;;;;143110
143111;;;;;;;;;;143111
143112;;;;;;;;;;143112
143113;;;;;;;;;;143113
143114;;;;;;;;;;143114
143115;;;;;;;;;;143115
143116;;;;;;;;;;143116
143117;;;;;;;;;;143117
143118;;;;;;;;;;143118
143119;;;;;;;;;;143119
143120;;;;;;;;;;143120
143125;;;;;;;;;;143125
143126;;;;;;;;;;143126
143127;;;;;;;;;;143127
143128;;;;;;;;;;143128
143129;;;;;;;143129;Effiziente Software entwickeln mit C++;SU;143129
143130;;;;;;;143130;Effiziente Software entwicklen mit C++;Ü;143130
143132;;;;;;;143132;Grundlagen der Theoretischen Informatik;SU;143132
143133;;;;;;;143133;Mediendesign Grundlagen;SU;143133
143135;;;;;;;143135;Technische Grundlagen der Informatik;SU;143135
143137;;;;;;;143137;Programmierung I;SU;143137
143140;;;;;;;143140;Algorithmen und Datenstrukturen;SU;143140
143144;;;;;;;143144;Betriebssysteme;SU;143144
143147;;;;;;;143147;Computergrafik Grundlagen;SU;143147
143149;;;;;;;143149;Medientechnologien;Ü;143149
143151;;;;;;;143151;Verteilte Systeme;SU;143151
143153;;;;;;;143153;Web Engineering I;SU;143153
143156;;;;;;;143156;Web Engineering II;SU;143156
143158;;;;;;;143158;Human Computer Interaction;SU;143158
143162;;;;;;;143162;Praxisprojekt;Ü;143162
143163;;;;;;;143163;Projekt;Ü;143163
143164;;;;;;;143164;Interaktions- und Interface-Design;Ü;143164
143165;;;;;;;143165;Software Engineering: Architekturen und Werkzeuge;Ü;143165
143166;;;;;;;143166;3D Web Graphics;Ü;143166
143167;;;;;;;143167;Softwarequalität und -test;Ü;143167
143168;;;;;;;143168;Betriebswirtschaftslehre;Ü;143168
143169;;;;;;;143169;Medienproduktion und -distribution;Ü;143169
143170;;;;;;;143170;Effiziente Software entwickeln mit C++;Ü;143170
143171;;;;;;;143171;Programmiersprachen und -paradigmen;Ü;14371
143172;;;;;;;143172;Anwendungsentwicklung für iOS-Geräte;Ü;143172
143173;;;;;;;143173;Mobile Anwendungsentwicklung;Ü;143173
143174;;;;;;;143174;Visual and Scientific Computing;Ü;143174
143175;;;;;;;143175;Spieleentwicklung und Creative Coding;Ü;143175
143176;;;;;;;143176;Signalverarbeitung für Audio, Bild und Video;Ü;143176
143177;;;;;;;143177;Maschinelles Lernen;Ü;143177
143178;;;;;;;143178;Aktuelle Webtechnologien: Frameworks und Tools;Ü;143178
143179;;;;;;;143179;Aktuelle Themen;Ü;143179
143181;;;;;;;143181;Cloud Computing;Ü;143181
