ID;Unit;Semester;Note;BNF
3;143013;4026;NT;5
3;143013;4026;1,7;5
3;143015;4026;1,3;5
3;143015;4026;NT;5
3;143016;4026;NT;5
3;143016;4026;2,3;5
3;143017;4026;NT;5
3;143017;4026;1,3;5
3;143041;4026;m.E.;E
3;143043;4026;m.E.;E
3;143044;4026;belegt;E
3;143044;4026;m.E.;E
3;143070;4026;1,3;5
3;143070;4026;NT;5
3;143071;4026;belegt;E
3;143071;4026;m.E.;E
3;143085;4026;belegt;E
3;143085;4026;m.E.;E
3;143087;4026;m.E.;E
3;143088;4026;m.E.;E
3;143019;4027;NT;5
3;143019;4027;NT;5
3;143020;4027;1,3;5
3;143020;4027;NT;5
3;143025;4027;1,3;5
3;143025;4027;NT;5
3;143050;4027;belegt;E
3;143050;4027;o.E.;E
3;143051;4027;belegt;E
3;143051;4027;m.E.;E
3;143068;4027;3,3;5
3;143068;4027;NT;5
3;143069;4027;belegt;E
3;143069;4027;m.E.;E
3;143078;4027;m.E.;E
3;143079;4027;1,3;5
3;143084;4027;belegt;E
3;143084;4027;m.E.;E
3;143105;4027;NT;5
3;143106;4027;NT;E
3;143019;4028;NT;5
3;143019;4028;1,3;5
3;143027;4028;NT;5
3;143027;4028;NT;5
3;143050;4028;belegt;E
3;143050;4028;m.E.;E
3;143066;4028;NT;5
3;143067;4028;PR;E
3;143074;4028;NT;5
3;143074;4028;1,7;5
3;143075;4028;belegt;E
3;143075;4028;m.E.;E
3;143076;4028;belegt;E
3;143076;4028;m.E.;E
3;143077;4028;1,3;5
3;143077;4028;NT;5
3;143101;4028;NT;5
3;143102;4028;NT;E
3;143105;4028;2,3;5
3;143106;4028;m.E.;E
3;143023;4029;NT;5
3;143023;4029;NT;5
3;143027;4029;4;5
3;143027;4029;NT;5
3;143066;4029;NT;5
3;143066;4029;NT;5
3;143067;4029;belegt;E
3;143067;4029;NT;E
3;143086;4029;belegt;E
3;143086;4029;NT;E
3;143101;4029;NT;5
3;143102;4029;NT;E
3;143023;4030;1,3;5
3;143023;4030;NT;5
3;143066;4030;2,3;5
3;143066;4030;NT;5
3;143067;4030;belegt;E
3;143067;4030;m.E.;E
3;143086;4030;belegt;E
3;143086;4030;m.E.;E
3;143099;4030;2,3;5
3;143099;4030;NT;5
3;143100;4030;belegt;E
3;143100;4030;m.E.;E
3;143063;4031;1,3;5
4;143002;4030;NT;5
4;143003;4030;NT;5
4;143004;4030;NT;5
4;143004;4030;NT;5
4;143005;4030;NT;5
4;143005;4030;NT;5
4;143006;4030;5;5
4;143006;4030;NT;5
4;143036;4030;NT;E
4;143037;4030;NT;E
4;143064;4030;NT;5
4;143064;4030;NT;5
4;143065;4030;belegt;E
4;143065;4030;NT;E
5;143007;4014;NT;5
5;143007;4015;NT;5
5;143007;4016;3,3;5
5;143007;4016;NT;5
5;143002;4017;3,3;5
5;143002;4017;NT;5
5;143013;4017;3,3;5
5;143013;4017;NT;5
5;143015;4017;NT;5
5;143016;4017;NT;5
5;143018;4017;NT;5
5;143044;4017;m.E.;E
5;143046;4017;NT;5
5;143047;4017;NT;5
5;143049;4017;o.E.;E
5;143001;4018;3,3;5
5;143003;4018;2,3;5
5;143004;4018;1,3;5
5;143005;4018;3,3;5
5;143006;4018;3,3;5
5;143008;4018;4;5
5;143009;4018;2,3;5
5;143010;4018;4;5
5;143011;4018;2,3;5
5;143012;4018;2,3;5
5;143014;4018;3,3;5
5;143015;4018;NT;5
5;143015;4018;2,3;5
5;143016;4018;NT;5
5;143017;4018;3,3;5
5;143018;4018;2,3;5
5;143019;4018;1,3;5
5;143020;4018;3,3;5
5;143020;4018;NT;5
5;143021;4018;1,3;5
5;143030;4018;2,3;5
5;143035;4018;m.E.;E
5;143036;4018;m.E.;E
5;143037;4018;m.E.;E
5;143038;4018;m.E.;E
5;143039;4018;m.E.;E
5;143040;4018;m.E.;E
5;143041;4018;m.E.;E
5;143042;4018;m.E.;E
5;143043;4018;m.E.;E
5;143045;4018;m.E.;E
5;143046;4018;NT;5
5;143046;4018;2,3;5
5;143047;4018;NT;5
5;143048;4018;3,3;5
5;143049;4018;m.E.;E
5;143050;4018;m.E.;E
5;143051;4018;m.E.;E
5;143016;4019;NT;5
5;143023;4019;NT;5
5;143024;4019;2,3;5
5;143024;4019;NT;5
5;143025;4019;NT;5
5;143026;4019;m.E.;E
5;143032;4019;NT;5
5;143047;4019;2,3;5
5;143053;4019;NT;5
5;143054;4019;m.E.;E
5;143056;4019;NT;5
5;143016;4020;3,3;5
5;143016;4020;NT;5
5;143016;4020;NT;5
5;143022;4020;2,3;5
5;143022;4020;NT;5
5;143023;4020;NT;5
5;143023;4020;NT;5
5;143025;4020;NT;5
5;143025;4020;1,3;5
5;143026;4020;belegt;E
5;143027;4020;NT;5
5;143027;4020;NT;5
5;143032;4020;NT;5
5;143034;4020;1,3;5
5;143034;4020;NT;5
5;143052;4020;belegt;E
5;143052;4020;m.E.;E
5;143053;4020;5;5
5;143055;4020;1,3;5
5;143056;4020;NT;5
5;143056;4020;NT;5
5;143062;4020;m.E.;E
5;143023;4021;NT;5
5;143023;4021;1,3;5
5;143027;4021;2,3;5
5;143027;4021;NT;5
5;143032;4021;NT;5
5;143053;4021;1,7;5
5;143032;4022;2,3;5
5;143056;4022;1,3;5
5;143056;4022;NT;5
5;143063;4022;1,3;5
6;143001;4013;3,3;5
6;143001;4013;3,3;5
6;143001;4013;5;5
6;143002;4013;2,3;5
6;143003;4013;2,3;5
6;143004;4013;2,3;5
6;143005;4013;5;5
6;143006;4013;5;5
6;143035;4013;m.E.;E
6;143035;4013;o.E.;E
6;143036;4013;m.E.;E
6;143037;4013;m.E.;E
6;143005;4014;5;5
6;143005;4014;1,7;5
6;143006;4014;1,3;5
6;143006;4014;5;5
6;143007;4014;3,3;5
6;143008;4014;NT;5
6;143009;4014;2,3;5
6;143011;4014;2,3;5
6;143038;4014;m.E.;E
6;143039;4014;belegt;E
6;143040;4014;m.E.;E
6;143042;4014;m.E.;E
6;143008;4015;2,3;5
6;143010;4015;1,3;5
6;143014;4015;2,3;5
6;143016;4015;2,3;5
6;143017;4015;3,3;5
6;143039;4015;m.E.;E
6;143041;4015;m.E.;E
6;143045;4015;m.E.;E
6;143047;4015;2,3;5
6;143048;4015;2,3;5
6;143012;4016;2,3;5
6;143013;4016;2,3;5
6;143015;4016;1,3;5
6;143018;4016;2,3;5
6;143020;4016;1,3;5
6;143021;4016;2,3;5
6;143043;4016;m.E.;E
6;143044;4016;m.E.;E
6;143046;4016;1,7;5
6;143049;4016;m.E.;E
6;143051;4016;m.E.;E
6;143019;4017;1,7;5
6;143022;4017;2,3;5
6;143023;4017;3,3;5
6;143024;4017;1,3;5
6;143027;4017;NT;5
6;143030;4017;NT;5
6;143050;4017;m.E.;E
6;143052;4017;m.E.;E
6;143053;4017;1,7;5
6;143054;4017;m.E.;E
6;143026;4018;belegt;E
6;143026;4018;belegt;E
6;143027;4018;3,3;5
6;143030;4018;2,3;5
6;143034;4018;1,7;5
6;143056;4018;NT;5
6;143056;4018;1,7;5
6;143062;4018;m.E.;E
6;143063;4018;1,3;5
6;143025;4019;NT;5
6;143026;4019;m.E.;E
6;143032;4019;1,7;5
6;143055;4019;NT;5
6;143025;4020;3,3;5
6;143025;4020;NT;5
6;143055;4020;2,3;5
7;143002;4028;NT;5
7;143002;4028;1,7;5
7;143003;4028;1,3;5
7;143004;4028;1,3;5
7;143004;4028;NT;5
7;143005;4028;NT;5
7;143005;4028;2,3;5
7;143006;4028;1,3;5
7;143006;4028;NT;5
7;143036;4028;m.E.;E
7;143037;4028;belegt;E
7;143037;4028;m.E.;E
7;143064;4028;1,3;5
7;143064;4028;NT;5
7;143065;4028;belegt;E
7;143065;4028;m.E.;E
7;143008;4029;1,7;5
7;143009;4029;NT;5
7;143009;4029;2,3;5
7;143010;4029;NT;5
7;143010;4029;1,3;5
7;143011;4029;1,3;5
7;143014;4029;NT;5
7;143014;4029;1,7;5
7;143039;4029;m.E.;E
7;143040;4029;m.E.;E
7;143041;4029;belegt;E
7;143041;4029;m.E.;E
7;143042;4029;m.E.;E
7;143045;4029;belegt;E
7;143045;4029;m.E.;E
7;143066;4029;2,3;5
7;143066;4029;NT;5
7;143067;4029;belegt;E
7;143067;4029;m.E.;E
7;143012;4030;NT;5
7;143012;4030;1,7;5
7;143013;4030;2,3;5
7;143013;4030;NT;5
7;143015;4030;NT;5
7;143015;4030;1,3;5
7;143016;4030;NT;5
7;143016;4030;1,3;5
7;143017;4030;NT;5
7;143017;4030;2,3;5
7;143043;4030;m.E.;E
