20;4021;3
1417;4017;3
1361;4023;3
1538;4025;3
275;4029;3
2377;4023;2
2127;4024;3
1691;4020;2
544;4022;3
1434;4018;2
957;4021;2
495;4022;2
150;4018;2
1943;4022;3
1945;4016;2
167;4020;3
168;4019;3
978;4016;2
1152;4016;2
2286;4016;2
1239;4019;3
707;4024;3
2741;4019;2
327;4017;2
2192;4019;2
892;4020;2
1188;4016;2
1212;4016;2
749;4018;2
754;4029;2
2309;4020;2
695;4022;2
2417;4018;2
170;4019;2
151;4022;3
234;4019;3
25;4018;2
2158;4017;2
2405;4021;2
2040;4018;2
1844;4019;2
2455;4019;2
1747;4018;2
1338;4017;2
608;4018;2
2496;4024;2
1784;4020;2
60;4020;2
795;4020;2
1857;4018;2
648;4021;2
2043;4019;2
2500;4020;2
2172;4024;2
1649;4018;2
1096;4017;2
96;4016;2
2530;4016;1
1618;4016;1
191;4018;2
380;4016;2
863;4020;2
1717;4022;2
657;4016;2
1599;4016;2
1865;4018;2
1546;4016;2
1542;4017;2
1687;4016;2
2152;4016;2
2623;4020;3
1528;4016;2
852;4025;2
272;4018;1
269;4020;2
1749;4018;1
918;4024;2
1414;4021;2
2652;4020;3
570;4018;2
2305;4019;3
1039;4023;3
2612;4019;2
388;4018;2
1487;4022;3
2605;4020;2
1727;4018;2
1377;4017;1
858;4022;3
886;4018;2
624;4019;2
1693;4022;2
259;4022;2
2157;4020;2
392;4023;2
276;4020;2
1248;4021;3
1767;4018;2
655;4018;2
558;4020;2
1661;4019;1
1645;4018;1
1210;4019;2
703;4018;1
2079;4018;2
2686;4020;2
1736;4019;2
1328;4021;2
2223;4023;2
2336;4018;2
1383;4018;2
1107;4018;1
943;4019;2
1658;4019;2
2460;4021;2
888;4017;2
575;4019;1
88;4022;2
455;4020;2
1702;4020;3
2001;4020;2
279;4018;2
2288;4018;2
1982;4021;2
2073;4022;2
159;4024;3
6;4020;2
2366;4024;2
1961;4023;2
1725;4019;2
2489;4018;2
2034;4022;2
2319;4019;2
1654;4018;2
451;4021;2
314;4020;2
1146;4019;2
585;4021;2
1458;4024;2
2507;4022;2
651;4022;2
51;4020;2
2410;4021;2
2244;4019;2
1668;4019;2
2640;4018;2
475;4019;1
1394;4022;2
1679;4021;2
1491;4019;1
2641;4019;2
1879;4020;2
1450;4020;1
1429;4021;2
561;4019;2
688;4022;2
1108;4022;1
763;4019;2
1117;4020;2
2195;4019;2
161;4020;2
2524;4024;2
2276;4019;2
1005;4022;2
602;4019;1
68;4023;2
2536;4021;2
1903;4021;2
1831;4020;2
432;4027;2
2505;4024;2
1122;4023;2
109;4023;2
1919;4021;2
2503;4020;2
872;4030;2
1371;4020;2
2622;4022;2
860;4022;2
828;4020;2
517;4021;1
187;4020;2
190;4021;2
635;4020;2
1083;4021;2
2151;4021;2
2365;4021;2
2016;4021;2
1003;4021;2
395;4021;2
1610;4021;2
94;4021;2
1512;4017;3
1773;4021;2
1478;4020;2
