143001;1
143002;1
143003;1
143004;1
143005;1
143006;0
143007;2
143008;2
143009;2
143010;2
143011;2
143012;3
143013;3
143014;2
143015;3
143016;3
143017;3
143018;3
143019;4
143020;4
143021;0
143022;4
143023;5
143024;5
143025;4
143026;4
143027;5
143029;4
143030;4
143031;5
143032;5
143033;0
143034;0
143035;1
143036;1
143037;1
143038;2
143039;2
143040;2
143041;2
143042;2
143043;3
143044;3
143045;2
143046;3
143047;3
143048;3
143049;3
143050;4
143051;4
143052;4
143053;5
143054;5
143055;4
143056;4
143057;4
143058;4
143059;5
143060;5
143061;0
143062;0
143063;0
143064;1
143065;1
143066;2
143067;2
143068;3
143069;3
143070;45
143071;45
143072;4
143073;4
143074;45
143075;45
143076;4
143077;4
143078;5
143079;5
143080;4
143081;4
143082;5
143083;5
143084;4
143085;3
143086;5
143087;3
143088;3
143097;45
143098;45
143099;45
143100;45
143101;45
143102;45
143105;5
143106;5
143107;45
143108;45
143109;45
143110;45
143111;45
143112;45
143113;45
143114;45
143115;45
143116;45
143117;45
143118;45
143119;45
143120;45
143125;45
143126;45
143127;45
143128;45
143129;45
143130;45
143132;1
143133;1
143135;1
143137;1
143140;2
143144;2
143147;3
143149;3
143151;3
143153;3
143156;4
143158;4
143162;6
143163;5
143164;45
143165;45
143166;45
143167;45
143168;5
143169;45
143170;45
143171;45
143172;45
143173;45
143174;45
143175;45
143176;45
143177;45
143178;45
143179;45
143181;45
