Student_id;Wechsel;Abbruch;Durchschnittsnote;EndNote
271;0;1;2.80;0.00
272;0;0;1.55;1.28
274;0;0;2.55;0.00
276;0;0;2.06;2.03
278;0;1;2.10;0.00
279;0;0;2.08;2.04
280;0;0;2.37;0.00
281;0;0;2.89;0.00
282;0;1;3.30;0.00
283;0;1;2.89;0.00
284;0;0;2.01;0.00
285;0;1;2.50;0.00
286;0;0;2.19;0.00
287;0;1;0.00;0.00
289;0;1;2.75;0.00
290;0;0;2.55;0.00
291;0;0;0.00;0.00
292;0;1;0.00;0.00
293;1;1;2.19;0.00
295;1;1;2.80;0.00
296;0;1;2.70;0.00
298;0;0;2.65;2.83
299;0;0;2.62;2.81
300;0;1;0.00;0.00
301;0;1;2.46;0.00
303;0;1;3.30;0.00
304;0;1;2.81;0.00
305;0;0;1.61;1.31
307;0;0;1.79;0.00
308;1;0;3.04;0.00
310;0;0;2.01;2.01
312;0;0;2.26;2.13
314;0;0;1.99;2.00
315;0;0;2.10;0.00
316;0;0;1.96;0.00
317;0;0;2.18;0.00
318;0;0;2.30;0.00
319;1;0;1.96;1.98
321;0;1;2.83;0.00
322;0;0;3.30;0.00
323;0;0;2.03;2.02
324;0;0;1.45;1.23
325;0;0;1.80;1.90
326;0;0;1.61;0.00
327;0;0;2.05;2.03
328;0;0;2.57;0.00
329;0;1;0.00;0.00
330;0;0;1.62;1.31
331;0;0;3.24;0.00
332;0;1;2.44;0.00
333;0;0;2.46;0.00
334;0;0;2.36;2.18
336;0;0;0.00;0.00
337;0;0;2.47;2.24
338;0;0;0.00;0.00
339;0;0;2.90;0.00
340;0;1;0.00;0.00
341;0;0;1.90;1.95
342;0;0;2.17;2.09
344;0;1;1.61;0.00
346;0;0;1.81;1.91
347;0;0;2.71;2.86
348;0;1;2.00;0.00
349;0;0;2.80;0.00
350;0;1;2.82;0.00
351;0;0;0.00;0.00
353;1;1;2.03;0.00
354;0;0;1.71;1.86
355;0;1;2.63;0.00
356;0;0;2.80;0.00
358;0;1;2.50;0.00
359;0;0;2.19;2.10
360;0;0;2.09;0.00
361;0;0;2.53;0.00
362;0;0;2.24;2.12
363;0;1;2.38;0.00
364;0;1;2.89;0.00
365;0;0;2.61;0.00
366;0;0;2.52;0.00
367;0;0;2.73;0.00
368;0;1;2.03;0.00
369;0;1;2.74;0.00
370;0;0;1.75;1.88
371;0;1;0.00;0.00
372;0;0;2.85;0.00
373;0;0;1.76;0.00
375;0;1;0.00;0.00
376;0;0;1.54;1.27
377;0;1;2.40;0.00
378;0;0;1.93;0.00
379;0;0;2.35;0.00
380;0;0;1.93;1.97
381;0;1;2.03;0.00
382;0;0;1.88;1.94
383;0;0;1.88;1.94
384;0;0;2.26;0.00
385;0;1;2.80;0.00
386;0;0;1.85;1.93
387;0;1;1.80;0.00
388;0;0;1.77;1.89
389;0;0;2.07;0.00
391;0;0;2.67;0.00
392;0;0;1.66;1.83
393;0;0;2.12;2.06
395;0;0;2.28;2.14
396;0;1;2.85;0.00
397;0;1;2.32;0.00
398;0;0;2.85;0.00
399;0;1;2.75;0.00
400;0;0;1.71;1.86
401;0;0;2.30;0.00
402;0;1;1.80;0.00
403;0;0;2.71;2.86
404;0;1;3.24;0.00
405;0;0;1.89;1.95
406;0;1;2.80;0.00
407;0;0;1.78;0.00
408;0;0;2.61;2.31
409;0;1;0.00;0.00
411;0;1;2.30;0.00
412;0;0;1.33;1.17
413;0;1;2.36;0.00
414;0;1;2.55;0.00
415;0;1;1.62;0.00
416;0;1;1.83;0.00
417;0;1;0.00;0.00
418;0;1;0.00;0.00
419;0;1;2.48;0.00
420;0;1;2.04;0.00
421;0;1;2.30;0.00
423;0;0;1.97;1.99
424;0;1;3.37;0.00
425;0;0;1.35;1.18
426;0;0;2.73;2.87
427;0;0;1.56;0.00
428;0;0;2.13;0.00
429;0;0;2.12;2.06
430;0;1;1.81;0.00
431;0;0;2.76;0.00
432;0;0;2.48;2.24
433;0;1;0.00;0.00
434;0;1;0.00;0.00
435;0;1;3.29;0.00
436;0;0;2.42;0.00
437;0;1;2.70;0.00
438;0;0;2.21;0.00
439;0;1;0.00;0.00
441;0;1;2.90;0.00
443;0;1;2.72;0.00
444;0;1;2.88;0.00
445;0;1;2.44;0.00
446;0;1;2.74;0.00
448;0;1;2.48;0.00
449;0;1;0.00;0.00
450;0;1;2.26;0.00
451;0;0;2.32;2.16
452;0;0;2.83;0.00
454;0;1;0.00;0.00
455;0;0;2.19;2.10
456;0;0;2.24;2.12
457;0;1;3.30;0.00
461;0;0;1.89;0.00
463;0;0;2.49;0.00
464;1;0;2.14;2.07
465;0;0;2.05;2.03
466;0;0;1.90;0.00
467;0;1;2.92;0.00
469;0;1;3.15;0.00
473;0;0;2.46;2.23
474;0;0;1.41;0.00
475;0;0;1.37;1.19
476;0;0;1.91;1.96
478;0;0;1.79;1.90
479;0;0;3.25;0.00
480;0;0;1.95;1.98
481;0;0;1.79;0.00
482;0;1;3.25;0.00
483;0;1;2.63;0.00
484;0;1;1.30;0.00
485;0;1;0.00;0.00
486;0;0;2.08;2.04
487;0;1;0.00;0.00
488;0;0;2.47;2.24
490;0;0;2.16;2.08
491;0;0;1.36;1.18
492;0;1;2.49;0.00
493;0;0;0.00;0.00
494;0;1;4.00;0.00
496;0;0;2.63;0.00
497;0;0;2.19;0.00
498;0;0;1.77;1.89
499;0;0;0.00;0.00
500;0;1;3.30;0.00
503;0;0;1.68;1.84
504;0;1;0.00;0.00
506;0;1;3.30;0.00
507;0;0;2.55;0.00
508;0;0;2.51;2.76
509;0;0;2.11;2.06
511;0;0;2.90;0.00
512;0;0;1.91;0.00
513;0;0;2.55;0.00
514;0;1;2.45;0.00
515;0;1;2.93;0.00
517;0;0;1.54;1.27
518;0;1;0.00;0.00
520;0;1;2.59;0.00
521;0;1;2.53;0.00
522;0;0;2.21;0.00
524;0;1;2.98;0.00
525;0;1;2.02;0.00
528;0;1;3.00;0.00
529;0;0;2.09;2.05
530;0;0;2.17;2.09
531;0;1;2.63;0.00
532;0;0;1.88;0.00
533;0;0;2.12;0.00
534;0;1;2.62;0.00
535;0;0;1.79;1.90
536;0;0;2.74;0.00
537;0;0;1.51;1.26
538;0;0;2.98;0.00
539;0;0;1.90;0.00
540;0;1;0.00;0.00
541;0;0;2.31;0.00
542;0;0;2.16;2.08
543;0;0;1.61;1.31
544;1;0;2.95;2.98
545;0;0;1.54;0.00
546;0;1;0.00;0.00
548;0;1;0.00;0.00
550;0;0;2.62;0.00
551;0;0;2.62;0.00
552;0;1;2.57;0.00
553;0;0;1.76;0.00
554;0;0;2.42;0.00
555;0;0;1.90;0.00
556;0;0;2.30;0.00
557;0;1;2.43;0.00
558;0;0;2.11;2.06
560;0;1;0.00;0.00
561;0;0;2.34;2.17
563;0;1;2.51;0.00
564;0;1;2.49;0.00
565;0;0;2.46;2.23
566;0;0;1.36;1.18
567;0;1;3.27;0.00
568;1;0;2.56;2.78
569;0;0;1.88;1.94
570;0;0;2.07;2.04
571;0;1;2.73;0.00
572;0;0;2.09;2.05
573;0;0;2.18;2.09
574;0;0;1.70;1.85
575;0;0;1.61;1.31
578;0;1;0.00;0.00
579;0;1;0.00;0.00
580;0;0;1.80;1.90
582;0;0;1.67;0.00
583;0;1;2.15;0.00
584;0;1;1.87;0.00
585;0;0;2.38;2.19
586;0;0;2.46;2.23
587;0;0;1.59;1.30
589;0;0;2.50;0.00
590;0;0;1.92;1.96
591;0;1;2.30;0.00
592;0;0;2.67;0.00
593;0;0;1.77;0.00
595;0;0;2.20;2.10
596;0;1;2.10;0.00
598;0;0;2.16;0.00
599;0;1;2.37;0.00
600;0;0;1.89;1.95
601;0;1;1.90;0.00
602;0;0;1.58;1.29
603;0;1;3.30;0.00
604;0;1;2.70;0.00
605;0;0;2.12;2.06
606;0;1;2.30;0.00
607;0;1;0.00;0.00
608;0;0;1.81;1.91
610;0;0;1.77;0.00
611;0;1;0.00;0.00
612;0;0;1.93;0.00
613;0;0;2.69;2.85
615;0;0;1.53;1.27
616;0;1;0.00;0.00
617;0;0;2.02;2.01
618;0;1;3.30;0.00
619;0;0;2.19;2.10
620;0;0;1.53;1.27
622;0;1;2.28;0.00
624;0;0;2.47;2.24
625;0;0;1.90;1.95
626;0;1;0.00;0.00
627;0;1;2.97;0.00
628;0;0;2.45;2.23
629;0;1;3.30;0.00
630;0;1;3.30;0.00
631;0;1;3.22;0.00
633;0;1;2.80;0.00
634;0;1;2.48;0.00
635;0;0;2.18;2.09
636;0;1;2.30;0.00
637;0;0;2.34;2.17
638;0;0;2.71;2.86
641;0;0;1.71;1.86
643;0;0;1.94;0.00
644;0;1;1.65;0.00
645;0;1;2.98;0.00
647;0;0;1.30;0.00
648;0;0;2.40;2.20
649;0;0;1.77;1.89
650;0;1;1.86;0.00
651;0;0;2.31;2.16
653;0;0;2.44;0.00
654;0;0;2.95;0.00
655;0;0;1.99;2.00
657;0;0;2.03;2.02
659;0;0;1.73;0.00
660;0;0;2.30;0.00
661;0;1;0.00;0.00
662;0;1;0.00;0.00
663;0;1;2.03;0.00
664;1;0;2.49;2.25
665;0;1;2.80;0.00
666;0;0;1.48;1.24
667;0;0;1.97;1.99
668;0;0;2.36;0.00
669;0;0;2.31;0.00
670;0;1;0.00;0.00
671;0;0;1.80;0.00
672;0;0;1.84;1.92
673;0;1;2.30;0.00
674;0;0;2.55;0.00
676;0;0;2.32;2.16
677;0;1;3.48;0.00
678;0;1;2.80;0.00
679;0;0;2.39;2.20
680;0;0;1.70;1.85
682;0;0;2.80;2.90
685;0;1;2.30;0.00
687;0;1;0.00;0.00
688;0;0;2.16;2.08
689;0;1;0.00;0.00
691;0;1;2.98;0.00
692;0;0;2.78;0.00
693;0;0;2.01;2.01
695;0;0;1.88;1.94
697;0;0;2.32;0.00
698;1;0;2.59;0.00
699;0;1;3.24;0.00
700;0;0;1.81;1.91
702;0;0;2.30;0.00
703;0;0;1.58;1.29
704;0;0;1.71;0.00
705;0;1;0.00;0.00
706;0;0;1.91;0.00
708;0;0;2.48;0.00
709;0;1;0.00;0.00
710;0;0;2.27;0.00
711;0;1;4.00;0.00
712;0;1;1.78;0.00
713;0;1;0.00;0.00
714;0;1;0.00;0.00
715;0;0;2.01;0.00
716;0;0;1.83;0.00
717;0;0;1.95;1.98
718;0;1;1.98;0.00
719;0;1;0.00;0.00
720;0;0;2.10;2.05
721;0;1;2.06;0.00
722;0;0;2.37;0.00
723;0;0;1.75;1.88
725;0;1;2.80;0.00
726;0;1;0.00;0.00
727;0;0;2.62;0.00
728;0;0;2.08;2.04
729;0;0;0.00;0.00
730;0;0;1.75;1.88
731;0;1;3.30;0.00
732;0;0;3.07;0.00
733;0;1;2.30;0.00
735;0;1;2.25;0.00
736;0;0;2.10;0.00
737;0;1;0.00;0.00
738;0;1;2.10;0.00
739;0;0;2.17;2.09
741;0;0;1.62;1.81
743;0;0;2.00;2.00
744;0;0;2.50;2.25
745;0;1;3.20;0.00
746;0;0;2.51;2.26
747;0;1;2.78;0.00
748;0;0;1.60;1.30
749;0;0;2.30;2.15
750;0;1;2.30;0.00
751;0;1;2.30;0.00
752;0;0;1.75;0.00
753;0;0;2.67;0.00
754;0;0;2.23;2.12
755;0;0;2.01;2.01
756;0;1;2.71;0.00
757;0;0;2.72;0.00
758;1;1;2.93;0.00
759;0;1;2.34;0.00
760;0;1;2.21;0.00
761;0;1;3.30;0.00
762;0;0;3.30;0.00
763;0;0;2.07;2.04
764;0;1;2.97;0.00
765;0;0;1.98;1.99
766;0;1;2.46;0.00
767;0;1;2.30;0.00
768;0;0;2.10;2.05
769;0;0;0.00;0.00
770;0;0;2.14;2.07
771;0;1;2.72;0.00
772;0;0;1.89;1.95
773;0;1;2.64;0.00
775;0;1;2.16;0.00
777;0;0;1.56;0.00
778;0;0;2.47;0.00
779;0;0;1.59;0.00
780;0;1;1.81;0.00
781;0;1;2.93;0.00
782;0;0;2.03;2.02
783;0;0;2.23;0.00
784;0;1;1.80;0.00
785;0;0;1.41;1.21
787;0;1;2.55;0.00
788;0;0;2.69;2.85
790;0;0;1.96;1.98
792;0;0;1.63;1.32
793;0;1;2.08;0.00
794;0;0;2.21;0.00
795;0;0;2.43;2.22
796;0;0;1.44;1.22
798;0;1;0.00;0.00
799;0;1;2.51;0.00
800;0;0;2.16;0.00
801;0;0;1.40;1.20
802;0;0;2.27;0.00
803;0;1;1.93;0.00
804;0;1;2.30;0.00
805;0;1;1.64;0.00
806;0;1;2.97;0.00
807;0;1;0.00;0.00
808;0;1;1.30;0.00
809;0;0;2.30;0.00
810;0;0;0.00;0.00
811;0;1;3.53;0.00
813;0;0;2.50;2.25
814;0;0;1.65;1.83
815;0;1;4.00;0.00
816;0;0;1.68;0.00
817;0;1;2.80;0.00
818;0;0;2.05;0.00
819;0;0;2.76;0.00
820;0;1;0.00;0.00
821;0;1;3.30;0.00
822;0;1;2.76;0.00
823;0;1;2.72;0.00
824;0;0;2.46;2.23
826;0;1;3.30;0.00
828;0;0;1.91;1.96
829;0;0;2.59;0.00
830;0;1;2.33;0.00
831;0;1;1.93;0.00
833;0;1;2.73;0.00
835;0;1;2.62;0.00
836;0;0;2.17;2.09
837;0;1;3.08;0.00
838;0;1;3.31;0.00
839;0;0;2.03;2.02
841;0;0;2.38;0.00
842;0;1;0.00;0.00
843;0;0;2.31;2.16
845;0;0;1.92;1.96
846;0;0;2.74;0.00
847;0;0;1.86;1.93
848;0;1;0.00;0.00
849;0;1;2.03;0.00
851;0;0;1.85;1.93
853;0;1;3.06;0.00
854;0;1;2.98;0.00
855;0;0;2.16;2.08
856;0;1;2.27;0.00
857;0;0;0.00;0.00
858;0;0;2.80;2.90
859;0;0;1.71;1.86
860;0;0;2.08;2.04
861;0;0;1.70;0.00
862;0;1;3.28;0.00
863;0;0;1.74;1.87
864;0;1;2.53;0.00
865;0;1;0.00;0.00
866;0;1;1.82;0.00
867;0;1;2.72;0.00
869;0;0;2.46;2.23
870;0;0;1.89;0.00
871;0;1;2.84;0.00
872;0;0;2.19;2.10
874;0;0;2.38;0.00
876;0;0;1.96;0.00
878;0;0;2.10;0.00
879;0;1;0.00;0.00
881;0;0;1.99;2.00
882;0;0;2.28;2.14
883;0;0;1.60;1.30
884;0;0;1.94;0.00
885;0;0;3.53;0.00
886;0;0;2.21;2.11
887;0;0;2.58;2.79
888;0;0;2.48;2.24
889;0;0;2.24;0.00
890;0;1;2.44;0.00
892;0;0;2.45;2.23
893;0;1;2.17;0.00
894;0;0;1.48;0.00
895;0;0;2.30;0.00
897;0;0;2.39;0.00
898;0;0;2.17;0.00
899;0;0;1.94;1.97
900;0;0;2.71;0.00
901;0;1;0.00;0.00
902;0;0;2.58;2.79
903;0;0;1.80;0.00
904;0;0;2.05;2.03
905;0;0;1.91;0.00
906;0;0;2.70;0.00
907;0;1;3.20;0.00
908;0;1;2.92;0.00
909;0;0;2.27;0.00
910;0;0;2.32;0.00
911;0;0;1.88;1.94
912;0;0;2.35;2.18
913;0;0;2.23;2.12
914;0;1;2.81;0.00
915;0;0;1.62;1.81
916;0;0;1.57;0.00
917;0;0;2.10;0.00
918;0;0;1.76;1.88
920;0;1;3.30;0.00
922;0;1;2.80;0.00
923;0;1;2.36;0.00
924;0;0;2.97;0.00
925;0;1;1.58;0.00
926;0;1;0.00;0.00
927;0;1;2.30;0.00
929;0;0;2.24;0.00
930;0;1;2.47;0.00
932;0;1;2.93;0.00
933;0;0;1.77;1.89
934;0;1;3.30;0.00
936;0;0;2.63;0.00
937;0;1;0.00;0.00
938;0;0;2.54;0.00
939;0;1;1.87;0.00
940;0;0;1.97;0.00
941;0;1;3.30;0.00
942;0;0;1.56;1.28
943;0;0;1.84;1.92
944;0;1;0.00;0.00
945;0;0;1.60;0.00
946;0;1;2.70;0.00
947;0;0;1.69;1.85
949;0;1;0.00;0.00
950;0;0;1.87;1.94
951;0;0;1.69;1.85
952;0;1;2.35;0.00
953;0;0;1.34;0.00
954;0;1;0.00;0.00
955;0;0;2.92;0.00
956;0;0;2.30;0.00
957;1;0;2.16;2.08
958;0;0;2.41;2.21
959;0;0;1.81;1.91
960;0;0;2.69;0.00
962;0;0;1.73;1.87
963;0;0;2.59;0.00
964;0;0;2.57;2.79
965;0;0;1.86;1.93
966;0;0;3.05;0.00
967;0;0;1.66;0.00
968;0;0;1.59;0.00
969;0;1;3.30;0.00
970;0;1;2.38;0.00
971;0;0;1.94;0.00
973;0;0;1.98;1.99
974;0;0;2.00;0.00
975;0;1;2.63;0.00
976;0;1;3.30;0.00
977;0;0;2.02;2.01
978;0;0;1.78;1.89
979;0;0;1.41;0.00
980;0;1;2.50;0.00
981;0;1;2.30;0.00
982;0;0;1.65;1.33
983;0;1;0.00;0.00
985;0;1;2.80;0.00
986;0;0;2.63;0.00
987;0;0;1.80;1.90
988;0;0;2.73;2.87
989;0;1;1.92;0.00
990;0;1;0.00;0.00
991;0;0;1.68;1.84
992;0;0;2.61;0.00
993;0;1;3.65;0.00
994;0;0;2.00;2.00
996;0;0;2.17;0.00
997;0;0;2.19;2.10
998;0;0;1.80;0.00
999;0;0;2.11;2.06
1000;0;1;2.59;0.00
1001;0;0;2.21;2.11
1002;0;1;3.39;0.00
1003;0;0;1.93;1.97
1004;0;0;2.55;0.00
1005;0;0;2.55;2.28
1006;0;1;0.00;0.00
1007;0;0;1.92;1.96
1008;0;0;2.47;0.00
1009;0;0;1.30;0.00
1010;0;0;2.53;2.27
1012;0;0;2.01;2.01
1013;0;1;0.00;0.00
1014;0;0;2.30;0.00
1015;0;0;2.00;2.00
1017;0;1;3.00;0.00
1018;0;0;2.30;0.00
1019;0;1;3.77;0.00
1021;0;0;2.22;2.11
1022;0;0;1.63;1.82
1023;0;1;2.44;0.00
1024;0;0;1.92;0.00
1025;0;0;2.02;2.01
1027;0;0;1.40;0.00
1029;0;0;1.42;1.21
1030;0;0;2.37;2.19
1031;0;0;1.44;1.22
1034;0;0;2.36;0.00
1035;0;0;2.33;0.00
1036;0;1;0.00;0.00
1037;0;1;0.00;0.00
1039;0;0;2.68;2.84
1040;0;0;1.85;1.93
1041;0;1;3.30;0.00
1043;0;0;2.30;0.00
1044;0;0;1.37;1.19
1045;0;0;1.53;0.00
1046;0;0;1.84;1.92
1047;0;1;0.00;0.00
1048;0;0;2.74;0.00
1049;0;1;2.43;0.00
1050;0;0;1.77;1.89
1051;0;0;1.78;1.89
1052;0;0;1.52;1.26
1053;0;1;0.00;0.00
1054;0;1;2.80;0.00
1055;0;0;1.88;0.00
1056;0;1;2.24;0.00
1058;0;0;2.77;0.00
1059;0;1;3.30;0.00
1060;0;0;1.63;0.00
1061;0;0;1.94;1.97
1063;0;0;2.46;0.00
1064;0;0;2.63;0.00
1065;0;0;2.32;2.16
1066;0;0;1.81;1.91
1068;0;1;0.00;0.00
1069;0;0;2.06;2.03
1070;0;0;2.31;0.00
1071;0;0;1.70;0.00
1073;0;1;2.65;0.00
1076;0;0;2.05;2.03
1077;0;0;2.34;0.00
1078;0;1;0.00;0.00
1080;0;1;2.24;0.00
1082;0;0;2.47;2.24
1083;0;0;1.89;1.95
1084;0;0;1.76;1.88
1085;0;0;1.88;1.94
1087;0;0;2.57;2.29
1088;0;1;1.42;0.00
1089;0;1;0.00;0.00
1090;0;1;2.64;0.00
1093;0;1;0.00;0.00
1094;0;1;0.00;0.00
1095;0;1;2.88;0.00
1096;0;0;2.40;2.20
1097;0;1;4.00;0.00
1099;0;0;3.10;0.00
1100;0;0;1.95;1.98
1101;0;1;0.00;0.00
1102;0;0;2.70;0.00
1103;0;0;0.00;0.00
1104;0;1;0.00;0.00
1105;0;0;2.03;0.00
1106;0;1;2.10;0.00
1107;0;0;1.57;1.29
1108;0;0;1.37;1.19
1109;0;1;3.30;0.00
1110;0;1;1.41;0.00
1111;0;0;1.85;1.93
1112;0;0;2.89;0.00
1113;0;1;2.37;0.00
1114;0;0;1.38;0.00
1115;0;0;2.30;0.00
1116;0;1;1.68;0.00
1117;0;0;2.45;2.23
1118;0;0;1.79;0.00
1119;0;0;1.80;1.90
1120;0;1;2.00;0.00
1121;0;1;2.97;0.00
1122;0;0;2.16;2.08
1123;0;0;1.72;1.86
1124;0;0;3.53;0.00
1125;0;0;2.80;0.00
1127;0;1;0.00;0.00
1128;0;0;2.15;2.08
1129;0;0;2.28;2.14
1130;0;0;1.98;1.99
1131;0;1;2.51;0.00
1132;0;0;2.92;0.00
1133;0;0;3.08;0.00
1135;0;0;2.29;2.15
1136;0;0;2.28;0.00
1137;0;0;2.18;0.00
1138;0;0;2.10;2.05
1139;0;0;2.43;2.22
1142;0;0;1.78;1.89
1143;0;1;2.30;0.00
1144;0;0;2.05;2.03
1145;0;0;1.91;1.96
1146;0;0;2.03;2.02
1147;0;0;2.35;0.00
1148;0;0;1.70;1.85
1149;0;1;0.00;0.00
1150;0;0;2.32;2.16
1151;0;1;0.00;0.00
1152;0;0;1.99;2.00
1153;0;1;3.25;0.00
1154;0;1;2.76;0.00
1155;0;0;1.83;1.92
1156;0;0;2.08;0.00
1158;0;0;2.32;0.00
1159;0;0;1.45;1.23
1160;0;0;2.39;0.00
1161;0;0;2.64;0.00
1162;0;0;2.15;2.08
1163;0;0;1.99;2.00
1164;0;0;2.44;0.00
1165;0;0;1.94;1.97
1166;0;0;2.06;2.03
